lookback_quarters,sharpe,sortino,max_drawdown,win_rate,total_return,universe_count,start_date,end_date,cost_bps
4,0.736809488513823,1.2475654390035775,-0.0821849155890998,0.07936507936507936,0.19896457786534572,8,2019-01-02T00:00:00+00:00,2023-10-31T00:00:00+00:00,7.5
8,0.736809488513823,1.2475654390035775,-0.0821849155890998,0.07936507936507936,0.19896457786534572,8,2019-01-02T00:00:00+00:00,2023-10-31T00:00:00+00:00,7.5
