lookback_months,vol_target_pct,rebalance,sharpe,deflated_sharpe,deflated_p_value,max_drawdown,ann_return,total_return,ann_vol
9,15.0,weekly,0.3296,-1.4889,0.931743,-0.3234,0.0283,0.7649,0.094
9,15.0,biweekly,0.3641,-1.314,0.90558,-0.2458,0.0325,0.9162,0.0962
9,15.0,monthly,0.3291,-1.4748,0.929873,-0.2358,0.029,0.7898,0.0969
12,6.0,weekly,0.3929,-1.1892,0.882816,-0.2364,0.0322,0.9059,0.0862
12,6.0,biweekly,0.3461,-1.4034,0.919753,-0.2459,0.0279,0.7496,0.0863
12,6.0,monthly,0.3745,-1.273,0.898495,-0.224,0.0307,0.8501,0.0869
12,8.0,weekly,0.3883,-1.2115,0.887147,-0.2364,0.0322,0.9066,0.0876
12,8.0,biweekly,0.3509,-1.3802,0.916234,-0.2459,0.0288,0.7807,0.0879
12,8.0,monthly,0.3723,-1.2816,0.90001,-0.224,0.031,0.8612,0.0885
12,10.0,weekly,0.3761,-1.2691,0.897804,-0.2364,0.0314,0.8765,0.0887
12,10.0,biweekly,0.3473,-1.3955,0.918562,-0.2459,0.0288,0.7818,0.0892
12,10.0,monthly,0.3649,-1.3141,0.905596,-0.224,0.0307,0.8498,0.0898
12,12.0,weekly,0.3667,-1.3147,0.905702,-0.2364,0.0308,0.8526,0.0895
12,12.0,biweekly,0.346,-1.3994,0.919155,-0.2459,0.029,0.7882,0.0903
12,12.0,monthly,0.3607,-1.3316,0.908508,-0.224,0.0306,0.8476,0.091
12,15.0,weekly,0.3503,-1.3947,0.918446,-0.2364,0.0295,0.8073,0.0908
12,15.0,biweekly,0.3436,-1.4067,0.920246,-0.2459,0.0292,0.7963,0.092
12,15.0,monthly,0.3596,-1.3324,0.908641,-0.224,0.0311,0.8636,0.0929
15,6.0,weekly,0.3159,-1.542,0.938466,-0.2782,0.0244,0.634,0.0838
15,6.0,biweekly,0.286,-1.6789,0.95341,-0.2908,0.0219,0.555,0.0847
15,6.0,monthly,0.2597,-1.8011,0.964157,-0.2984,0.0197,0.487,0.0855
15,8.0,weekly,0.3332,-1.4621,0.928145,-0.2782,0.0264,0.6979,0.0851
15,8.0,biweekly,0.3045,-1.5926,0.944375,-0.2908,0.024,0.6198,0.0862
15,8.0,monthly,0.2767,-1.7221,0.957474,-0.2984,0.0216,0.5443,0.0871
15,10.0,weekly,0.3423,-1.4197,0.92215,-0.2782,0.0275,0.737,0.0863
15,10.0,biweekly,0.3139,-1.548,0.939193,-0.2908,0.0252,0.6589,0.0876
15,10.0,monthly,0.2874,-1.6717,0.952705,-0.2984,0.0229,0.5845,0.0885
15,12.0,weekly,0.3505,-1.3812,0.916391,-0.2782,0.0285,0.7722,0.0871
15,12.0,biweekly,0.3227,-1.5055,0.933899,-0.2908,0.0263,0.6959,0.0887
15,12.0,monthly,0.2977,-1.6225,0.947647,-0.2984,0.0241,0.6245,0.0897
15,15.0,weekly,0.3465,-1.3993,0.919133,-0.2782,0.0285,0.7711,0.0884
15,15.0,biweekly,0.3206,-1.5117,0.934694,-0.2908,0.0265,0.7037,0.0904
15,15.0,monthly,0.2978,-1.6189,0.947268,-0.2984,0.0246,0.6386,0.0916
